Titel,Frage,Antwort
**Einführung in KI**,Was ist Künstliche Intelligenz (KI)? / What is Artificial Intelligence (AI)?,"Die Wissenschaft und Technik der Entwicklung intelligenter Maschinen, insbesondere Computerprogramme. / The science and engineering of making intelligent machines, especially intelligent computer programs."
**Definitionen von KI**,Wie definiert John McCarthy KI? / How does John McCarthy define AI?,"Die Wissenschaft und Technik, intelligente Maschinen zu erschaffen. / The science and engineering of making intelligent machines."
**Turing-Test**,Wann wird ein System als intelligent angesehen? / When is a system considered intelligent?,Wenn ein menschlicher Beobachter nicht zwischen Mensch und Maschine unterscheiden kann. / When a human observer cannot distinguish between human and machine.
**Intelligenz und Verhalten**,Ist intelligentes Verhalten gleich Intelligenz? / Is intelligent behavior the same as intelligence?,"Ein System kann intelligent erscheinen, auch wenn es keine tatsächliche Intelligenz besitzt. / A system can appear intelligent even if it lacks actual intelligence."
**Chinesisches Zimmer Argument**,Was verdeutlicht das Chinesische Zimmer Argument? / What does the Chinese Room Argument illustrate?,"Es zeigt, dass intelligentes Verhalten nicht notwendigerweise Intelligenz bedeutet. / It demonstrates that intelligent behavior does not necessarily mean intelligence."
**Starke vs. schwache KI**,Was ist der Unterschied zwischen starker und schwacher KI? / What is the difference between strong and weak AI?,"Starke KI bewältigt alle intellektuellen Aufgaben, während schwache KI nur auf spezifische Aufgaben beschränkt ist. / Strong AI can handle any intellectual task, while weak AI is limited to specific tasks."
**Rationalität**,"Was bedeutet es, rational zu handeln? / What does it mean to act rationally?","Es bedeutet, die Handlungen zu maximieren, die zum Erfolg führen basierend auf der verfügbaren Information. / It means maximizing actions that lead to success based on the available information."
**Kognitive Wissenschaft**,Wie untersucht die Kognitive Wissenschaft das Denken des Menschen? / How does Cognitive Science study human thinking?,"Durch die Erstellung von Modellen und Theorien, die das Verhalten und die neuronale Aktivität im Gehirn vorhersagen. / By creating models and theories that predict behavior and neural activity in the brain."
**Grundlagen der KI**,Welche Disziplinen haben zur Entwicklung der KI beigetragen? / Which disciplines have contributed to the development of AI?,"Philosophie, Mathematik, Psychologie, Wirtschaft, Linguistik, Neurowissenschaften, und Regelungstechnik. / Philosophy, Mathematics, Psychology, Economics, Linguistics, Neuroscience, and Control Theory."
**Heutige Anwendungen der KI**,In welchen Bereichen findet KI heute Anwendung? / In which fields is AI applied today?,"Autonome Planung, Spiele, Sprachverarbeitung, Robotik, wissenschaftliche Entdeckungen, Computersehen. / Autonomous planning, games, natural language processing, robotics, scientific discoveries, computer vision."
